timestamp,alertType
2024-10-09 19:19:59.318749 UTC,high
2024-10-09 19:20:04.475297 UTC,high
2024-10-09 19:20:09.634712 UTC,high
2024-10-09 19:20:14.793420 UTC,high
2024-10-09 19:20:19.948234 UTC,high
2024-10-09 19:21:21.568427 UTC,high
2024-10-09 19:21:26.719691 UTC,high
2024-10-09 19:21:31.881012 UTC,high
2024-10-09 19:21:37.031726 UTC,high
2024-10-09 19:21:42.187048 UTC,high
2024-10-09 19:21:47.339380 UTC,high
2024-10-09 19:21:52.503789 UTC,high
2024-10-09 19:21:57.657124 UTC,high
2024-10-09 19:33:35.379420 UTC,high
2024-10-09 19:33:40.538149 UTC,high
2024-10-09 19:33:45.694531 UTC,high
2024-10-09 19:33:50.854783 UTC,high
2024-10-09 19:33:56.010822 UTC,high
2024-10-09 19:34:01.170522 UTC,high
2024-10-09 19:34:06.311268 UTC,high
2024-10-09 19:34:11.440329 UTC,high
2024-10-09 19:34:16.600077 UTC,high
2024-10-09 19:34:21.760290 UTC,high
2024-10-09 19:34:26.894049 UTC,high
2024-10-09 19:34:32.055226 UTC,high
2024-10-09 19:34:37.223683 UTC,high
2024-10-09 19:34:42.384202 UTC,high
2024-10-09 19:34:47.577155 UTC,high
2024-10-09 19:34:52.763365 UTC,high
2024-10-09 19:34:57.931768 UTC,high
2024-10-09 19:35:03.072364 UTC,high
2024-10-09 19:35:08.245830 UTC,high
2024-10-09 19:35:13.496342 UTC,high
2024-10-09 19:35:18.656091 UTC,high
2024-10-09 19:35:23.844092 UTC,high
2024-10-09 19:35:29.128951 UTC,high
2024-10-09 19:35:34.298054 UTC,high
2024-10-09 19:35:39.495034 UTC,high
2024-10-09 19:35:44.654298 UTC,high
2024-10-09 19:35:49.807055 UTC,high
2024-10-09 19:35:54.963849 UTC,high
2024-10-09 19:36:00.116669 UTC,high
2024-10-09 19:36:05.270773 UTC,high
2024-10-09 19:36:10.428459 UTC,high
2024-10-09 19:36:15.602981 UTC,high
2024-10-09 19:36:20.762643 UTC,high
2024-10-09 19:36:25.920029 UTC,high
2024-10-09 19:36:31.142769 UTC,high
2024-10-09 19:36:36.274415 UTC,high
2024-10-09 19:36:41.432580 UTC,high
2024-10-09 19:37:55.282179 UTC,high
2024-10-09 19:40:53.350068 UTC,high
2024-10-09 19:40:58.522223 UTC,high
2024-10-09 19:41:03.708076 UTC,high
2024-10-09 19:41:08.876051 UTC,high
2024-10-09 19:41:14.043026 UTC,high
2024-10-09 19:41:19.217708 UTC,high
2024-10-09 19:41:24.391086 UTC,high
2024-10-09 19:41:29.560195 UTC,high
2024-10-09 19:45:09.901399 UTC,high
2024-10-09 19:45:15.135341 UTC,high
2024-10-09 19:45:20.315447 UTC,high
2024-10-09 19:45:25.503538 UTC,high
2024-10-09 19:45:30.676466 UTC,high
2024-10-09 19:45:35.856479 UTC,high
2024-10-09 19:45:41.027403 UTC,high
2024-10-09 19:45:46.226171 UTC,high
2024-10-09 19:45:51.398405 UTC,high
2024-10-09 19:45:56.591622 UTC,high
2024-10-09 19:46:01.766680 UTC,high
2024-10-09 19:46:06.931274 UTC,high
2024-10-19 06:33:19.893832 UTC,high
2024-10-19 06:33:25.214745 UTC,high
2024-10-19 06:33:30.383977 UTC,high
2024-10-19 06:33:35.546656 UTC,high
2024-10-19 06:33:40.691498 UTC,high
2024-10-19 06:33:45.847305 UTC,high
2024-10-19 06:33:51.014320 UTC,high
2024-10-19 06:33:56.177369 UTC,high
2024-10-19 06:34:01.341068 UTC,high
2024-10-19 06:34:06.508999 UTC,high
2024-10-19 06:34:11.677477 UTC,high
2024-10-19 06:34:16.840721 UTC,high
2024-10-19 06:34:22.004251 UTC,high
2024-10-19 06:34:27.192669 UTC,high
2024-10-19 06:34:32.355864 UTC,high
2024-10-19 06:34:37.518613 UTC,high
2024-10-19 06:34:42.691075 UTC,high
2024-10-19 06:34:47.866161 UTC,high
2024-10-19 06:34:53.036525 UTC,high
2024-10-19 06:34:58.203375 UTC,high
2024-10-19 06:35:03.369412 UTC,high
2024-10-19 06:35:08.518110 UTC,high
2024-10-19 06:35:13.665326 UTC,high
2024-10-19 06:35:18.833233 UTC,high
2024-10-19 06:35:24.017721 UTC,high
2024-10-19 06:35:29.177595 UTC,high
2024-10-19 06:35:34.338040 UTC,high
2024-10-19 06:35:39.530538 UTC,high
2024-10-19 06:38:52.374214 UTC,high
2024-10-19 06:38:57.736063 UTC,high
2024-10-19 06:39:02.883401 UTC,high
2024-10-19 06:39:08.080691 UTC,high
2024-10-19 06:39:13.222056 UTC,high
2024-10-19 06:39:18.387995 UTC,high
2024-10-19 06:39:23.589915 UTC,high
2024-10-19 06:39:28.730855 UTC,high
2024-10-19 06:39:33.941081 UTC,high
2024-10-19 06:39:39.103281 UTC,high
2024-10-19 06:39:44.272803 UTC,high
2024-10-19 06:39:49.446284 UTC,high
2024-10-19 06:39:54.613531 UTC,high
2024-10-19 06:39:59.776539 UTC,high
2024-10-19 06:40:04.920680 UTC,high
2024-10-19 06:40:10.083211 UTC,high
2024-10-19 06:40:15.251740 UTC,high
2024-10-19 06:40:20.434335 UTC,high
2024-10-19 06:40:25.596071 UTC,high
2024-10-19 06:40:30.775791 UTC,high
2024-10-19 06:40:35.950071 UTC,high
2024-10-19 06:40:41.083467 UTC,high
2024-10-19 06:40:46.273005 UTC,high
2024-10-19 06:40:51.478221 UTC,high
2024-10-19 06:40:56.640832 UTC,high
2024-10-19 06:41:01.808218 UTC,high
2024-10-19 06:41:06.970154 UTC,high
2024-10-19 06:41:12.138363 UTC,high
2024-10-19 06:41:17.286179 UTC,high
2024-10-19 06:41:22.434054 UTC,high
2024-10-19 06:41:27.600294 UTC,high
2024-10-19 06:41:32.763652 UTC,high
2024-10-19 06:41:37.909109 UTC,high
2024-10-19 06:41:43.059567 UTC,high
2024-10-19 06:41:48.225454 UTC,high
2024-10-19 06:41:53.388095 UTC,high
2024-10-19 06:41:58.540313 UTC,high
2024-10-19 06:42:03.712614 UTC,high
2024-10-19 06:42:08.967712 UTC,high
2024-10-19 06:42:14.114911 UTC,high
2024-10-19 06:42:19.277875 UTC,high
2024-10-19 06:42:24.443962 UTC,high
2024-10-19 06:42:29.611797 UTC,high
2024-10-19 06:42:34.781780 UTC,high
2024-10-19 06:42:39.948665 UTC,high
2024-10-19 06:42:45.112664 UTC,high
2024-10-19 06:42:50.309465 UTC,high
2024-10-19 06:42:55.466936 UTC,high
2024-10-19 06:43:00.634454 UTC,high
2024-10-19 06:43:05.796887 UTC,high
2024-10-19 06:43:10.663727 UTC,high
2024-10-19 06:43:15.962439 UTC,high
2024-10-19 06:43:58.776557 UTC,high
2024-10-19 06:44:04.078561 UTC,high
2024-10-19 06:48:45.086388 UTC,high
2024-10-19 06:48:50.380105 UTC,high
2024-10-19 06:48:55.548152 UTC,high
2024-10-19 06:49:00.707425 UTC,high
2024-10-19 06:49:05.884826 UTC,high
2024-10-19 06:49:11.023141 UTC,high
2024-10-19 06:49:16.441514 UTC,high
2024-10-19 06:49:21.654712 UTC,high
2024-10-19 06:49:26.823305 UTC,high
2024-10-19 06:49:31.990938 UTC,high
2024-10-19 06:49:37.224673 UTC,high
2024-10-19 06:49:42.387508 UTC,high
2024-10-19 06:49:47.609304 UTC,high
2024-10-19 06:49:52.879068 UTC,high
2024-10-19 06:49:58.058806 UTC,high
2024-10-19 06:50:03.217886 UTC,high
2024-10-19 06:50:08.374355 UTC,high
2024-10-19 06:50:13.635306 UTC,high
2024-10-19 06:50:18.822895 UTC,high
2024-10-19 06:50:23.982566 UTC,high
2024-10-19 06:50:29.127064 UTC,high
2024-10-19 06:50:34.279444 UTC,high
2024-10-19 06:50:39.483947 UTC,high
2024-10-19 06:50:44.625987 UTC,high
2024-10-19 06:55:51.512240 UTC,high
2024-10-19 06:55:56.804903 UTC,high
2024-10-19 06:56:01.982458 UTC,high
2024-10-19 06:56:07.159452 UTC,high
2024-10-19 06:56:12.294473 UTC,high
2024-10-19 06:56:17.439081 UTC,high
2024-10-19 06:56:22.602729 UTC,high
2024-10-19 06:56:27.763831 UTC,high
2024-10-19 06:56:32.904094 UTC,high
2024-10-19 06:56:38.042527 UTC,high
2024-10-19 06:56:43.204835 UTC,high
2024-10-19 06:56:48.368396 UTC,high
2024-10-19 06:56:53.507138 UTC,high
2024-10-19 06:56:58.674369 UTC,high
2024-10-19 06:57:03.831413 UTC,high
2024-10-19 06:57:08.965023 UTC,high
2024-10-19 06:57:14.121848 UTC,high
2024-10-19 06:57:19.275643 UTC,high
2024-10-19 06:57:24.411196 UTC,high
2024-10-19 06:57:29.574382 UTC,high
2024-10-19 06:57:34.739967 UTC,high
2024-10-19 06:57:39.898137 UTC,high
2024-10-19 06:57:45.057385 UTC,high
2024-10-19 06:57:50.251377 UTC,high
2024-10-19 06:57:55.390834 UTC,high
2024-10-19 06:58:00.552353 UTC,high
2024-10-19 07:10:50.383205 UTC,high
2024-10-19 07:10:55.541633 UTC,high
2024-10-19 07:11:00.685737 UTC,high
2024-10-19 07:11:05.848646 UTC,high
2024-10-19 07:11:11.012446 UTC,high
2024-10-19 07:11:16.171157 UTC,high
2024-10-19 07:11:21.320315 UTC,high
2024-10-19 07:11:26.480985 UTC,high
2024-10-19 07:11:31.648205 UTC,high
2024-10-19 07:11:36.813295 UTC,high
2024-10-19 07:11:41.999087 UTC,high
2024-10-19 07:11:47.169191 UTC,high
2024-10-19 07:11:52.319078 UTC,high
2024-10-19 07:11:57.478508 UTC,high
2024-10-19 07:12:02.631313 UTC,high
2024-10-19 07:12:07.829293 UTC,high
2024-10-19 07:12:12.985601 UTC,high
2024-10-19 07:12:18.171825 UTC,high
2024-10-19 07:12:23.336777 UTC,high
2024-10-19 07:12:28.509995 UTC,high
2024-10-19 07:12:33.701860 UTC,high
2024-10-19 07:12:38.876674 UTC,high
2024-10-19 07:12:44.037872 UTC,high
2024-10-19 07:12:49.196675 UTC,high
2024-10-19 07:12:54.354289 UTC,high
2024-10-19 07:12:59.505280 UTC,high
2024-10-19 07:17:04.283681 UTC,high
2024-10-19 07:17:09.427398 UTC,high
2024-10-19 07:17:14.591387 UTC,high
2024-10-19 07:17:19.750529 UTC,high
2024-10-19 07:17:24.910802 UTC,high
2024-10-19 07:17:30.072598 UTC,high
2024-10-19 07:17:35.237151 UTC,high
2024-10-19 07:17:40.399312 UTC,high
2024-10-19 07:17:45.561324 UTC,high
2024-10-19 07:17:50.717798 UTC,high
2024-10-19 07:17:55.974858 UTC,high
2024-10-19 07:18:01.140447 UTC,high
2024-10-19 07:18:06.298330 UTC,high
2024-10-19 07:18:11.440229 UTC,high
2024-10-19 07:18:16.602042 UTC,high
2024-10-19 07:18:21.769280 UTC,high
2024-10-19 07:18:26.938065 UTC,high
2024-10-19 07:18:32.112730 UTC,high
2024-10-19 07:18:37.266719 UTC,high
2024-10-19 07:18:42.499637 UTC,high
2024-10-19 07:18:47.661459 UTC,high
2024-10-19 07:18:52.839025 UTC,high
